id,A_log2_qnorm_tumor_batchadj_score,A_log2_qnorm_tumor_batchadj_sd,A_log2_qnorm_tumor_batchadj_high,B_log2_qnorm_tumor_no_batchadj_score,B_log2_qnorm_tumor_no_batchadj_sd,B_log2_qnorm_tumor_no_batchadj_high,C_log2_raw_batchadj_score,C_log2_raw_batchadj_sd,C_log2_raw_batchadj_high,D_log2_qnorm_all120_batchadj_score,D_log2_qnorm_all120_batchadj_sd,D_log2_qnorm_all120_batchadj_high,E_log2_qnorm_within_batch_batchadj_score,E_log2_qnorm_within_batch_batchadj_sd,E_log2_qnorm_within_batch_batchadj_high,F_qnorm_raw_then_log2_tumor_batchadj_score,F_qnorm_raw_then_log2_tumor_batchadj_sd,F_qnorm_raw_then_log2_tumor_batchadj_high,G_qnorm_raw_within_batch_then_log2_batchadj_score,G_qnorm_raw_within_batch_then_log2_batchadj_sd,G_qnorm_raw_within_batch_then_log2_batchadj_high
CCA_FR_13,0.1178434979180032,0.29700869659470136,1,0.12302906534222716,0.31667855409012924,1,0.18757111428870465,0.2892149588230615,1,0.11786539485711726,0.2970594991831502,1,0.11806145566730661,0.2967125163701136,1,0.11799576598333625,0.2973968702521244,1,0.1181801126300682,0.2970440476325269,1
CCA_FR_14,0.05461038898518512,0.14023311024614613,1,0.05778161908247856,0.15115131551897895,1,0.2539330311559375,0.3882773076965311,1,0.05461230937588244,0.14023570419515544,1,0.0553652333863007,0.14171308885925085,1,0.05451478662375276,0.1400009243161961,1,0.055308348605376166,0.14158412843725607,1
CCA_FR_15,-0.015031533770911647,-0.032432024503559684,0,-0.008145907234428635,-0.01610122849049649,0,0.12048015304836678,0.18906432239790374,0,-0.015112081854723512,-0.03263244212246872,0,-0.01200186771417556,-0.024833821365093496,0,-0.015044481509316619,-0.032465646251330894,0,-0.011797467902004009,-0.024345124123127993,0
CCA_FR_16,0.17397295726413384,0.43617200912083826,1,0.17562955438922473,0.4501215345982079,1,0.6006230968661559,0.9058020246070152,1,0.1739543330513791,0.43612117621518603,1,0.17601413703796823,0.4399848238292715,1,0.17401367856866223,0.43628874667986983,1,0.1762798083436914,0.4407043081806868,1
CCA_KR_2,0.06767578631509945,0.1726265092398666,1,0.07018019480962,0.18260545081431062,1,0.4570074316935704,0.691418447419437,1,0.06777158400844001,0.17286158120125278,1,0.06487914443375037,0.16523365695878567,1,0.06790900313613708,0.17321079913705603,1,0.0649467451625359,0.16541651763759024,1
CCA_RO_2,0.6351807402072464,1.5796571519476,1,0.6117607542686979,1.5565494073976813,1,0.7589656074539067,1.1421692328768824,1,0.63513741861484,1.5795354636303258,1,0.6428031323509055,1.5939941789319216,1,0.6346674737624308,1.5784425158080833,1,0.641785594969629,1.5917375756006669,1
CCA_RO_3,-0.2905716138132318,-0.7155861243131735,0,-0.29122039595719934,-0.7342372033711937,0,-0.48651390581981113,-0.7170315238692041,0,-0.29060123337613303,-0.7156545254076736,0,-0.2921359107136344,-0.7173893647694044,0,-0.29049823186239593,-0.7154309066459278,0,-0.2917184513182873,-0.7164919747485634,0
CCA_RO_5,0.2470469309678109,0.6173463221912981,1,0.2311408332291293,0.5909489419934768,1,0.6717519496055543,1.0119802599213585,1,0.247026780504054,0.6172901805634241,1,0.2489686098830037,0.6203449972804724,1,0.24713818608901772,0.6175950394998105,1,0.24882840867770156,0.6200916646611855,1
CCA_RO_7,-0.2726920305407942,-0.6712567816869497,0,-0.27043035085091877,-0.6814946218069672,0,0.28342961200505523,0.4323085943228007,1,-0.27273809022676226,-0.6713663159427109,0,-0.276605615964455,-0.6789949175823203,0,-0.27278209254161984,-0.6715051743264675,0,-0.27640079145665486,-0.6786167504520922,0
CCA_RO_10,0.33399901470544546,0.8329290152181362,1,0.3313606422350376,0.8451980994062472,1,0.051030868763843176,0.08539327801607315,0,0.33396083083208,0.8328263489952858,1,0.3316331601658567,0.8247107070972006,1,0.3342268075319309,0.8335242216036141,1,0.3322619902544179,0.8263937789933734,1
